,,Arsenal,Everton,Fulham,Manchester City,Newcastle United,Queens Park Rangers,Reading,West Bromwich Albion,West Ham United,Wigan Athletic,Aston Villa,Chelsea,Liverpool,Manchester United,Norwich City,Southampton,Stoke City,Sunderland,Swansea City,Tottenham Hotspur
Everton vs Chelsea,win%,,45.300000000000004,,,,,,,,,,39.2,,,,,,,,
Everton vs Chelsea,loss%,,39.2,,,,,,,,,,45.300000000000004,,,,,,,,
Everton vs Chelsea,tie%,,15.5,,,,,,,,,,15.5,,,,,,,,
Everton vs Chelsea,avg_goles,,3.466,,,,,,,,,,3.29,,,,,,,,
Everton vs Chelsea,avg_tiros,,18.429,,,,,,,,,,17.063,,,,,,,,
Everton vs Chelsea,avg_pases,,251.146,,,,,,,,,,319.026,,,,,,,,
Everton vs Chelsea,avg_quites,,106.487,,,,,,,,,,92.344,,,,,,,,
Everton vs Liverpool,win%,,65.10000000000001,,,,,,,,,,,22.400000000000002,,,,,,,
Everton vs Liverpool,loss%,,22.400000000000002,,,,,,,,,,,65.10000000000001,,,,,,,
Everton vs Liverpool,tie%,,12.5,,,,,,,,,,,12.5,,,,,,,
Everton vs Liverpool,avg_goles,,3.383,,,,,,,,,,,2.028,,,,,,,
Everton vs Liverpool,avg_tiros,,16.408,,,,,,,,,,,14.688,,,,,,,
Everton vs Liverpool,avg_pases,,242.807,,,,,,,,,,,338.152,,,,,,,
Everton vs Liverpool,avg_quites,,114.157,,,,,,,,,,,90.327,,,,,,,
Everton vs Manchester United,win%,,52.800000000000004,,,,,,,,,,,,29.299999999999997,,,,,,
Everton vs Manchester United,loss%,,29.299999999999997,,,,,,,,,,,,52.800000000000004,,,,,,
Everton vs Manchester United,tie%,,17.9,,,,,,,,,,,,17.9,,,,,,
Everton vs Manchester United,avg_goles,,3.413,,,,,,,,,,,,2.613,,,,,,
Everton vs Manchester United,avg_tiros,,17.246,,,,,,,,,,,,12.007,,,,,,
Everton vs Manchester United,avg_pases,,251.652,,,,,,,,,,,,334.332,,,,,,
Everton vs Manchester United,avg_quites,,108.978,,,,,,,,,,,,91.972,,,,,,
Everton vs Norwich City,win%,,59.699999999999996,,,,,,,,,,,,,25.900000000000002,,,,,
Everton vs Norwich City,loss%,,25.900000000000002,,,,,,,,,,,,,59.699999999999996,,,,,
Everton vs Norwich City,tie%,,14.399999999999999,,,,,,,,,,,,,14.399999999999999,,,,,
Everton vs Norwich City,avg_goles,,3.255,,,,,,,,,,,,,2.169,,,,,
Everton vs Norwich City,avg_tiros,,19.095,,,,,,,,,,,,,11.559,,,,,
Everton vs Norwich City,avg_pases,,304.731,,,,,,,,,,,,,219.231,,,,,
Everton vs Norwich City,avg_quites,,113.922,,,,,,,,,,,,,101.456,,,,,
Everton vs Southampton,win%,,99.3,,,,,,,,,,,,,,0.4,,,,
Everton vs Southampton,loss%,,0.4,,,,,,,,,,,,,,99.3,,,,
Everton vs Southampton,tie%,,0.3,,,,,,,,,,,,,,0.3,,,,
Everton vs Southampton,avg_goles,,12.319,,,,,,,,,,,,,,2.893,,,,
Everton vs Southampton,avg_tiros,,14.464,,,,,,,,,,,,,,15.493,,,,
Everton vs Southampton,avg_pases,,242.665,,,,,,,,,,,,,,312.527,,,,
Everton vs Southampton,avg_quites,,107.908,,,,,,,,,,,,,,111.302,,,,
Everton vs Stoke City,win%,,57.099999999999994,,,,,,,,,,,,,,,27.700000000000003,,,
Everton vs Stoke City,loss%,,27.700000000000003,,,,,,,,,,,,,,,57.099999999999994,,,
Everton vs Stoke City,tie%,,15.2,,,,,,,,,,,,,,,15.2,,,
Everton vs Stoke City,avg_goles,,3.029,,,,,,,,,,,,,,,2.211,,,
Everton vs Stoke City,avg_tiros,,18.52,,,,,,,,,,,,,,,8.952,,,
Everton vs Stoke City,avg_pases,,269.415,,,,,,,,,,,,,,,227.425,,,
Everton vs Stoke City,avg_quites,,112.637,,,,,,,,,,,,,,,129.342,,,
Everton vs Sunderland,win%,,68.30000000000001,,,,,,,,,,,,,,,,16.900000000000002,,
Everton vs Sunderland,loss%,,16.900000000000002,,,,,,,,,,,,,,,,68.30000000000001,,
Everton vs Sunderland,tie%,,14.799999999999999,,,,,,,,,,,,,,,,14.799999999999999,,
Everton vs Sunderland,avg_goles,,3.223,,,,,,,,,,,,,,,,1.72,,
Everton vs Sunderland,avg_tiros,,20.345,,,,,,,,,,,,,,,,10.392,,
Everton vs Sunderland,avg_pases,,292.26,,,,,,,,,,,,,,,,219.652,,
Everton vs Sunderland,avg_quites,,118.743,,,,,,,,,,,,,,,,107.212,,
Everton vs Swansea City,win%,,53.400000000000006,,,,,,,,,,,,,,,,,28.499999999999996,
Everton vs Swansea City,loss%,,28.499999999999996,,,,,,,,,,,,,,,,,53.400000000000006,
Everton vs Swansea City,tie%,,18.099999999999998,,,,,,,,,,,,,,,,,18.099999999999998,
Everton vs Swansea City,avg_goles,,2.979,,,,,,,,,,,,,,,,,2.217,
Everton vs Swansea City,avg_tiros,,15.891,,,,,,,,,,,,,,,,,13.009,
Everton vs Swansea City,avg_pases,,253.286,,,,,,,,,,,,,,,,,345.185,
Everton vs Swansea City,avg_quites,,107.708,,,,,,,,,,,,,,,,,88.275,
Everton vs Tottenham Hotspur,win%,,41.199999999999996,,,,,,,,,,,,,,,,,,40.9
Everton vs Tottenham Hotspur,loss%,,40.9,,,,,,,,,,,,,,,,,,41.199999999999996
Everton vs Tottenham Hotspur,tie%,,17.9,,,,,,,,,,,,,,,,,,17.9
Everton vs Tottenham Hotspur,avg_goles,,2.739,,,,,,,,,,,,,,,,,,2.723
Everton vs Tottenham Hotspur,avg_tiros,,16.548,,,,,,,,,,,,,,,,,,17.994
Everton vs Tottenham Hotspur,avg_pases,,286.187,,,,,,,,,,,,,,,,,,256.425
Everton vs Tottenham Hotspur,avg_quites,,109.611,,,,,,,,,,,,,,,,,,94.181
Fulham vs Manchester City,win%,,,19.6,68.7,,,,,,,,,,,,,,,,
Fulham vs Manchester City,loss%,,,68.7,19.6,,,,,,,,,,,,,,,,
Fulham vs Manchester City,tie%,,,11.700000000000001,11.700000000000001,,,,,,,,,,,,,,,,
Fulham vs Manchester City,avg_goles,,,2.636,4.445,,,,,,,,,,,,,,,,
Fulham vs Manchester City,avg_tiros,,,12.992,20.414,,,,,,,,,,,,,,,,
Fulham vs Manchester City,avg_pases,,,290.922,310.444,,,,,,,,,,,,,,,,
Fulham vs Manchester City,avg_quites,,,98.721,86.969,,,,,,,,,,,,,,,,
Fulham vs Newcastle United,win%,,,71.1,,15.299999999999999,,,,,,,,,,,,,,,
Fulham vs Newcastle United,loss%,,,15.299999999999999,,71.1,,,,,,,,,,,,,,,
Fulham vs Newcastle United,tie%,,,13.600000000000001,,13.600000000000001,,,,,,,,,,,,,,,
Fulham vs Newcastle United,avg_goles,,,3.239,,1.493,,,,,,,,,,,,,,,
Fulham vs Newcastle United,avg_tiros,,,14.215,,10.619,,,,,,,,,,,,,,,
Fulham vs Newcastle United,avg_pases,,,280.205,,251.192,,,,,,,,,,,,,,,
Fulham vs Newcastle United,avg_quites,,,111.827,,112.045,,,,,,,,,,,,,,,
Fulham vs Queens Park Rangers,win%,,,65.8,,,16.400000000000002,,,,,,,,,,,,,,
Fulham vs Queens Park Rangers,loss%,,,16.400000000000002,,,65.8,,,,,,,,,,,,,,
Fulham vs Queens Park Rangers,tie%,,,17.8,,,17.8,,,,,,,,,,,,,,
Fulham vs Queens Park Rangers,avg_goles,,,2.825,,,1.413,,,,,,,,,,,,,,
Fulham vs Queens Park Rangers,avg_tiros,,,12.763,,,11.246,,,,,,,,,,,,,,
Fulham vs Queens Park Rangers,avg_pases,,,274.811,,,233.653,,,,,,,,,,,,,,
Fulham vs Queens Park Rangers,avg_quites,,,102.242,,,133.13,,,,,,,,,,,,,,
Fulham vs Reading,win%,,,43.9,,,,39.900000000000006,,,,,,,,,,,,,
Fulham vs Reading,loss%,,,39.900000000000006,,,,43.9,,,,,,,,,,,,,
Fulham vs Reading,tie%,,,16.2,,,,16.2,,,,,,,,,,,,,
Fulham vs Reading,avg_goles,,,3.311,,,,3.212,,,,,,,,,,,,,
Fulham vs Reading,avg_tiros,,,14.051,,,,13.137,,,,,,,,,,,,,
Fulham vs Reading,avg_pases,,,335.867,,,,197.771,,,,,,,,,,,,,
Fulham vs Reading,avg_quites,,,103.125,,,,108.299,,,,,,,,,,,,,
Fulham vs West Bromwich Albion,win%,,,34.1,,,,,52.400000000000006,,,,,,,,,,,,
Fulham vs West Bromwich Albion,loss%,,,52.400000000000006,,,,,34.1,,,,,,,,,,,,
Fulham vs West Bromwich Albion,tie%,,,13.5,,,,,13.5,,,,,,,,,,,,
Fulham vs West Bromwich Albion,avg_goles,,,3.582,,,,,4.325,,,,,,,,,,,,
Fulham vs West Bromwich Albion,avg_tiros,,,14.108,,,,,15.754,,,,,,,,,,,,
Fulham vs West Bromwich Albion,avg_pases,,,309.973,,,,,233.309,,,,,,,,,,,,
Fulham vs West Bromwich Albion,avg_quites,,,104.235,,,,,110.377,,,,,,,,,,,,
Fulham vs West Ham United,win%,,,29.7,,,,,,56.10000000000001,,,,,,,,,,,
